Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People's Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Viet Nam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
2011,52.2,95.47,103.12,,93.69,27.93,115.57,100.99,90.08,95.98,,99.67,82.92,82.03,92.42,51.5,107.06,107.99,159.35,75.63,47.41,92.7,66.88,86.17,84.51,,,98.41,101.3,96.44,23.29,27.53,85.58,,48.97,102.82,92.01,23.58,,90.98,92.99,101.21,,40.16,,102.43,,99.27,92.02,,92.83,99.45,121.82,,109.14,77.43,95.69,73.51,69.29,,48.98,112.29,67.05,35.36,,84.16,109.25,106.61,,,,,105.35,55.79,,105.96,,,,53.0,37.0,,103.89,,65.7,86.98,103.08,109.71,68.59,79.54,88.12,,115.83,,96.31,101.6,91.67,,87.59,100.99,,,,97.53,,98.13,87.03,47.47,105.57,,55.94,44.6,,111.46,106.01,100.42,94.93,35.27,35.83,77.9,,39.9,94.11,,22.49,88.72,88.38,,,,,93.17,66.26,26.67,,,,59.73,129.87,,118.26,,13.54,44.63,,,113.17,114.45,30.36,,72.25,,75.63,97.11,,100.62,108.86,83.27,96.47,100.74,94.58,36.62,79.94,94.95,48.72,,42.38,94.69,74.47,39.15,109.9,,95.0,98.48,47.7,,88.29,10.55,126.15,95.27,107.32,97.11,,107.88,38.53,71.12,102.14,97.2,75.24,86.25,,87.44,70.25,53.69,107.05,,87.77,87.8,,,,25.28,96.12,,94.16,,101.56,89.78,,82.27,,,87.62,42.75,,
2012,54.21,97.61,,,92.28,,116.69,102.78,,109.42,,100.11,82.76,83.03,95.42,53.65,,105.31,160.11,78.32,,91.91,72.0,88.14,85.38,,94.32,98.14,106.52,95.39,25.35,30.42,86.71,,52.17,110.9,89.0,22.85,,89.5,93.31,97.23,,40.06,50.78,105.2,,99.35,90.63,,95.3,99.77,124.58,,104.24,77.99,98.55,74.48,70.36,,49.78,112.54,70.27,37.21,,82.42,109.96,105.81,,,,,104.44,57.23,,106.29,,,,53.31,37.16,,105.69,,64.18,108.26,101.23,113.52,70.32,81.53,91.7,,117.75,,96.29,100.45,,,87.23,101.36,,,,97.37,,95.4,87.42,49.9,106.34,,57.92,,,110.37,106.17,100.61,97.43,36.9,35.73,82.12,,,95.52,,27.08,92.11,90.69,,,,,92.61,68.98,26.18,,,79.41,64.08,111.45,,116.83,,14.69,46.13,85.83,,112.18,110.75,31.26,,,37.13,82.53,95.99,,100.56,110.33,85.04,98.61,97.45,95.54,39.66,80.25,94.65,56.17,,46.18,94.97,84.5,43.15,109.73,,95.05,98.11,48.26,,92.52,,127.79,95.16,90.58,93.89,,107.11,42.68,71.48,103.11,98.37,75.73,86.61,,86.2,70.1,,94.51,,,85.02,,,,25.38,99.48,,92.5,,102.98,92.05,,84.34,,,87.09,43.25,,52.51
2013,54.75,102.9,,,90.97,,,104.6,84.4,,,101.17,83.14,74.58,105.04,57.96,,101.0,161.85,80.2,54.09,91.5,76.55,89.93,84.73,,103.92,96.53,105.06,100.79,27.73,35.22,89.01,,53.98,111.52,88.73,25.38,,99.15,,98.1,59.08,39.88,,110.99,,101.8,90.87,86.31,98.31,106.88,131.69,,,79.17,100.66,75.82,73.24,,48.38,110.52,73.21,,,,145.65,104.38,,,,105.45,103.94,68.58,,107.41,,103.68,,53.5,38.28,,,,61.5,102.83,107.07,122.03,69.96,83.24,90.86,,,,96.5,100.97,86.77,101.78,87.3,100.43,,,,97.83,,92.57,87.72,53.24,114.78,,56.53,,,,108.99,103.47,98.61,,38.59,82.51,,40.47,96.26,,30.15,93.8,93.26,,,,,,,35.04,,,,66.37,,,115.65,,16.83,54.88,83.8,,114.52,109.4,32.12,106.09,76.88,,75.38,101.04,,111.52,119.17,87.83,97.37,95.7,96.0,31.57,,93.14,63.21,92.89,48.85,95.12,85.27,37.96,108.39,,93.53,110.56,,,,,126.72,95.5,119.12,92.04,,111.14,45.37,71.79,132.71,101.22,48.96,87.21,34.21,84.67,67.89,,95.46,,87.51,102.21,,,,27.0,99.43,,125.99,96.19,104.66,92.06,,91.78,,,86.59,45.32,,51.85
2014,54.24,103.32,,,91.87,,114.91,106.09,84.93,,,101.3,83.44,79.04,104.19,,108.17,98.98,162.42,79.97,54.73,90.55,84.04,90.6,84.6,,102.64,96.46,99.63,104.94,29.73,41.48,87.44,,58.18,111.86,96.3,23.64,,99.87,,97.36,60.55,42.73,,115.65,38.48,102.53,96.14,,99.42,106.12,132.45,,100.78,80.11,102.59,75.67,72.48,,47.65,107.69,76.62,,,88.27,147.41,103.43,,,,105.02,103.3,63.59,,103.47,,103.31,,53.09,38.91,,,,49.18,105.6,105.84,120.63,75.32,84.69,91.74,,116.74,,96.33,101.12,87.79,101.81,88.87,101.92,,,,98.58,,90.03,89.78,58.36,113.71,,57.11,37.14,,115.56,102.45,104.6,101.76,37.56,40.08,85.66,,42.47,96.23,,30.57,97.08,97.32,,104.38,,,,,34.39,56.9,,81.85,68.13,,,116.08,,18.89,44.51,83.69,,113.48,,33.21,108.31,76.48,,,99.29,86.14,110.03,114.98,90.39,99.39,93.53,95.61,41.82,84.46,95.57,74.2,99.41,50.8,95.01,89.4,,108.14,,92.76,110.18,,,105.67,,125.34,93.84,111.0,91.34,,114.77,46.8,70.12,133.66,,,,31.18,124.96,69.44,,96.77,,85.84,105.98,,72.3,80.77,26.94,98.3,,128.76,96.92,106.47,91.74,,91.09,,,86.32,,,
2015,53.29,102.44,,,92.55,,117.03,107.55,85.79,,159.11,101.41,84.81,,100.81,62.03,108.28,97.52,164.08,80.97,57.39,90.52,85.19,91.8,83.07,,100.92,99.17,96.34,103.89,33.09,45.29,87.54,,59.55,111.93,97.24,23.03,,100.92,,97.67,,43.82,,117.92,41.66,102.98,96.27,,99.78,104.81,133.8,,93.76,79.94,100.79,,70.7,,43.28,108.19,79.52,34.87,,87.76,150.82,103.4,,,,106.21,102.19,67.08,,103.38,,101.16,,54.92,35.66,,,,50.02,107.43,104.55,119.81,74.95,88.78,88.14,,116.99,,96.34,101.23,87.5,102.2,,102.36,,,95.96,98.59,,95.25,90.07,62.42,112.36,,58.59,36.62,,116.12,102.15,104.38,100.97,37.91,40.23,84.55,,40.12,95.16,88.45,31.06,93.97,100.98,,105.06,,,91.86,,34.76,,,,68.93,114.14,,114.89,,20.9,45.61,84.98,,115.21,102.17,35.17,,77.01,,,99.59,86.64,109.41,116.87,99.72,101.95,91.34,96.33,39.41,84.09,96.68,82.38,103.28,51.28,97.16,92.09,38.51,107.78,,91.9,109.66,,,110.17,11.23,124.85,94.79,113.48,91.55,,118.11,47.6,73.01,137.46,103.91,,,27.24,126.04,73.06,,103.26,,86.76,107.24,,80.49,88.84,,90.5,,126.09,97.65,108.04,92.24,53.39,89.09,88.2,,86.93,,,
2016,53.51,99.17,,,94.21,53.58,,109.65,,,155.59,100.23,74.92,,101.84,66.92,108.48,97.05,160.69,87.5,57.53,89.7,85.68,91.86,82.96,,102.57,100.0,93.41,103.0,35.15,49.0,87.7,,60.47,111.77,101.78,23.35,,101.49,,98.42,,,,119.99,43.89,103.72,98.02,,99.12,103.02,131.44,,,80.09,99.57,78.57,69.13,,,111.6,85.98,,,88.79,152.47,103.31,,,,107.35,100.85,67.16,140.19,103.95,,102.08,,54.38,36.85,,,,50.7,107.8,104.05,117.12,76.12,88.56,85.49,,117.03,,96.79,100.74,91.17,101.17,,102.13,,,,98.72,,,92.54,64.88,111.3,,56.67,,,116.03,101.82,106.09,99.46,37.82,38.21,83.7,,41.21,94.98,93.14,32.05,94.44,102.87,,106.05,154.16,,90.56,,27.89,67.0,,77.02,71.82,112.99,,113.69,,24.12,40.91,,,116.65,102.61,36.35,,83.03,,82.36,101.34,87.13,109.12,115.64,89.11,97.94,88.78,95.91,38.51,84.45,,83.87,105.05,,96.5,101.71,40.71,107.86,,91.45,115.22,,,109.77,,123.27,94.21,114.63,90.21,,,46.16,,137.56,104.1,,,26.39,124.45,77.55,,,,91.17,108.55,,73.88,79.31,26.33,88.55,79.02,,98.77,112.03,92.81,,85.4,88.64,,87.16,47.24,,
2017,55.4,97.57,,,94.37,,116.53,110.41,,,153.58,100.34,77.41,,101.76,64.86,110.01,96.01,158.67,84.78,,85.49,86.61,90.68,84.27,,103.02,91.7,91.66,103.46,37.37,49.81,87.09,49.15,50.64,111.8,102.87,21.35,,102.29,,99.22,57.25,,,123.83,46.85,104.21,99.28,,100.33,102.2,130.32,,,79.94,97.4,79.36,66.91,,41.88,113.25,,,,,153.58,103.76,,,,109.08,101.1,66.38,143.64,104.23,,,,54.01,,,,,50.74,106.84,104.29,115.74,74.6,91.58,84.75,,125.31,,96.29,101.01,87.67,101.88,88.88,102.14,,,,99.11,,,91.95,66.12,110.72,,59.82,,,117.09,102.79,106.78,97.42,36.3,38.48,83.71,,39.57,103.14,,31.62,92.54,105.11,,94.36,,,90.6,78.54,37.01,71.26,,,73.94,115.23,,112.94,,25.35,,84.69,,117.3,101.81,35.85,,76.92,,,100.21,84.5,109.46,117.43,,102.31,88.38,97.52,39.69,,,90.38,105.57,,95.66,112.31,40.08,107.57,,91.25,114.6,,,111.63,,120.56,94.27,,89.36,,,48.98,,142.64,103.9,,,26.82,109.5,81.15,61.24,,,,112.98,,84.98,,24.0,86.79,81.25,125.73,98.95,116.47,93.88,,84.11,88.96,,88.22,,,
2018,57.04,98.82,,,95.09,,120.94,109.7,88.58,137.54,136.11,100.69,108.52,,100.44,67.42,108.46,95.5,156.51,86.32,,86.11,87.53,90.01,86.1,,105.01,,91.5,104.04,39.82,47.85,83.24,51.37,46.47,111.45,96.34,20.77,,103.17,,100.37,62.87,,65.62,128.48,49.05,104.96,100.19,,100.25,101.51,129.85,,,80.22,96.02,79.99,67.73,,42.95,112.76,,,,91.2,153.65,103.77,,,,111.16,100.84,67.75,,103.89,,,,54.11,37.66,,,,,108.21,103.75,114.65,75.78,93.43,,,154.91,,96.66,101.53,86.66,102.43,89.79,102.06,,,,99.32,,,92.43,66.19,109.16,,,,,112.01,103.01,106.98,92.71,35.98,38.46,79.67,76.42,38.93,104.64,,35.39,91.42,105.96,,95.92,,91.14,91.44,79.02,30.34,75.65,,,,114.5,,112.41,,,42.17,83.35,,117.71,104.06,37.75,,,44.41,,98.61,82.04,110.54,118.46,93.11,102.45,86.56,99.21,41.18,,60.33,83.65,105.88,,95.26,108.27,41.57,105.84,,91.78,113.56,,,108.52,,119.43,96.13,,89.2,,,48.36,75.99,140.82,104.19,,,28.77,109.73,83.1,,,,,112.12,,95.27,80.43,,85.83,,120.19,99.28,117.77,94.95,,,90.64,,88.12,,,
2019,,99.02,,,95.68,,,110.5,93.62,140.31,144.06,101.54,107.9,,101.02,67.22,106.33,94.92,156.64,87.38,,81.55,,90.07,85.82,,103.95,,89.65,102.66,40.27,43.21,84.11,52.31,44.42,110.86,98.41,20.98,,104.41,,101.99,,,,137.02,52.21,105.14,101.09,,100.85,100.22,129.31,,89.38,81.86,94.73,81.17,66.08,,42.79,112.29,,,,90.68,144.61,104.08,,67.14,,111.5,101.15,70.61,114.37,106.53,,,,52.61,37.99,,,,64.11,105.11,102.56,112.03,75.53,95.78,,,138.09,,96.3,101.74,87.92,102.67,89.51,101.36,,,,98.38,,,92.74,64.99,107.6,,,,,119.21,103.88,106.95,90.67,33.93,35.1,80.59,70.77,,104.51,110.42,37.45,93.14,105.52,,95.65,,89.16,91.84,80.13,31.94,,,86.36,79.32,114.8,,120.27,,,,82.53,,119.42,102.22,39.62,,,,75.86,97.7,87.57,109.75,119.54,,107.07,86.41,100.47,44.08,,61.01,78.38,104.45,45.94,94.57,100.83,58.95,104.71,,91.32,111.37,,,111.21,,118.52,,,88.88,,127.72,,,136.64,104.07,,,30.16,109.38,85.32,,96.09,,,111.91,85.9,91.09,81.11,,84.46,82.36,117.23,100.06,119.85,96.21,,,93.15,,88.89,,,
2020,,95.93,,,96.46,,,112.42,94.89,132.91,137.49,101.69,91.4,,,69.01,104.72,95.01,151.73,85.95,45.74,80.45,,90.0,85.3,,104.13,,86.96,101.35,39.43,46.39,87.31,54.84,45.26,110.08,97.4,,,103.69,,101.5,,,,135.9,54.65,105.59,102.04,129.47,101.43,99.33,130.0,,87.24,80.04,94.69,83.16,66.2,,,112.53,,,,90.12,143.12,104.57,,,,107.73,101.31,73.27,116.62,103.62,,,,51.91,37.39,,85.24,,56.83,100.49,101.99,110.49,77.63,98.04,87.07,,135.22,,96.14,101.84,85.16,102.84,90.2,94.37,,,,97.09,,,93.42,62.43,105.96,,,37.81,,120.23,105.99,107.08,88.58,,,78.58,,,102.92,113.37,35.89,89.5,102.58,,96.17,,95.99,92.36,81.4,41.3,,,77.85,84.59,136.28,,116.89,,,45.89,82.44,,119.94,94.6,,150.82,,,84.79,97.53,89.25,112.58,118.36,,107.67,86.42,92.75,,,61.86,,103.28,46.35,92.69,102.19,60.24,103.2,,90.81,110.36,,,110.02,,117.37,,,89.26,,127.23,,73.42,136.43,104.21,37.92,87.27,30.72,108.78,85.21,,90.46,,,112.53,88.48,90.96,77.39,,84.43,83.47,114.65,100.51,116.99,90.06,54.33,,93.79,,89.08,,,
